Date,Dividends
2018-04-04,0.093
2015-05-01,0.103
2019-08-05,0.1
2019-02-05,0.098
2016-03-01,0.0985
2016-09-01,0.094
2019-05-03,0.098
2020-03-04,0.101
2015-12-01,0.104
2020-09-03,0.058
2016-06-01,0.094
2017-10-02,0.092
2020-06-03,0.061
2017-07-03,0.092
2017-12-28,0.263
2018-11-05,0.098
2017-04-03,0.092
2018-08-03,0.098
2018-02-05,0.093
2015-09-01,0.104
2018-05-03,0.095
2019-03-05,0.098
2015-06-01,0.104
2019-09-05,0.101
2016-10-03,0.094
2019-06-05,0.098
2019-12-04,0.101
2016-07-01,0.094
2020-10-05,0.058
2016-12-28,0.115
2017-11-01,0.092
2020-07-06,0.058
2016-04-01,0.0935
2017-08-01,0.092
2017-02-01,0.094
2020-04-03,0.065
2017-05-01,0.092
2018-03-05,0.093
2018-09-06,0.098
2015-10-01,0.104
2018-06-05,0.097
2018-12-06,0.098
2019-10-03,0.101
2015-07-01,0.104
2015-12-29,0.15
2016-11-01,0.094
2019-07-03,0.1
2019-12-30,0.101
2016-08-01,0.094
2020-11-04,0.058
2019-04-03,0.098
2020-08-05,0.058
2016-05-02,0.094
2020-02-05,0.101
2017-03-01,0.094
2017-09-01,0.092
2020-05-05,0.065
2016-12-01,0.094
2017-06-01,0.092
2017-12-01,0.092
2018-10-03,0.098
2015-11-02,0.104
2018-07-05,0.098
2018-12-28,0.098
2019-11-05,0.101
2015-08-03,0.104
2016-02-01,0.104
